date,tv,digital_video,search,social,display,audio,print_mail,sales,consumer_sentiment,gas_price,store_count,markdown,hol_blackfriday,hol_christmas,hol_thanksgiving,hol_july4,hol_primeday
2015-03-15,47919.75,11556.62,429769.98,36663.57,247919.37,218401.02,1467353.29,130727968.55,93.0,2.5369999999999995,705.0,0.6525272437142857,0,0,0,0,0
2015-03-22,177859.05,4482.7,456764.82,61587.93,138066.62,274298.96,2059895.34,71633710.77,93.0,2.5380000000000003,705.0,0.6503031748571428,0,0,0,0,0
2015-03-29,137914.11,12457.79,290201.72,36164.83,221699.28,107545.45,1166465.12,88922739.21,93.0,2.531,705.0,0.8008260232857143,0,0,0,0,0
2015-04-05,130098.82,8019.01,493406.19,53395.3,186820.25,142966.16999999998,647922.35,65777933.97,95.9,2.499,705.0,0.7121494654285714,0,0,0,0,0
2015-04-12,115468.15,2828.46,436767.32,25002.0,113476.08,59553.05,850448.23,75016497.36,95.9,2.494,705.0,0.6739295375714285,0,0,0,0,0
2015-04-19,39666.81,0.0,398029.2,25002.0,79661.16,81834.53,2123857.32,96438356.01,95.9,2.57,705.0,0.6371327917142857,0,0,0,0,0
2015-04-26,347878.27,10671.78,548793.02,42860.57,144569.57,150374.57,1779437.4999999998,190030036.25,95.9,2.656,704.1428571428571,0.722589623142857,0,0,0,0,0
2015-05-03,552419.57,3568.04,517270.05,25070.07,183944.57,302045.43,2927937.25,106526801.19,90.70000000000002,2.7489999999999988,702.0,0.707586055142857,0,0,0,0,0
2015-05-10,125853.64,6945.9,233456.88,50528.77,179219.39,4306.74,1329207.45,72085109.62,90.70000000000002,2.776,702.0,0.6418321434285714,0,0,0,0,0
2015-05-17,130434.64,9184.52,276756.36,42956.02,250386.35,130756.59,392450.95,74421903.03,90.70000000000002,2.8270000000000004,702.0,0.6666650285714285,0,0,0,0,0
2015-05-24,112353.17,4164.48,276880.6,30183.94,191737.04,171823.59,840421.07,132061381.41,90.70000000000002,2.857,702.0,0.6738757951428571,0,0,0,0,0
2015-05-31,36844.51,2564.35,401330.43,34471.97,107506.03,130761.59999999999,1920479.07,77690596.12,96.1,2.863,702.0,0.6688984652857141,0,0,0,0,0
2015-06-07,89791.11,1391.14,232587.7,54558.97,198010.97,65749.6,527566.75,119823111.88,96.1,2.863,702.0,0.6704469045714285,0,0,0,0,0
2015-06-14,445654.4,2696.43,234637.12,37309.0,183171.06,170837.19,2217102.78,96665486.19,96.1,2.918,702.0,0.7180836627142857,0,0,0,0,0
2015-06-21,65555.2,3647.54,248228.77,41117.21,75357.48,218002.49,829224.72,63296503.58,96.1,2.895,702.0,0.6690149057142857,0,0,0,0,0
2015-06-28,220183.82,8042.32,492778.15,40889.95,102504.04,98865.79000000001,662228.55,122461146.05,96.1,2.885,702.0,0.736947284142857,0,0,0,1,0
2015-07-05,122164.27,3745.66,346908.34,17799.48,40324.23,214473.55000000002,824887.75,69612354.65,93.1,2.877,702.0,0.6630286768571427,0,0,0,0,0
2015-07-12,57915.55,2416.12,332692.7,38312.43,41422.39,1048.25,2473716.49,61722756.59,93.1,2.9199999999999995,702.0,0.7030381895714286,0,0,0,0,1
2015-07-19,45487.51,7627.03,359531.24,22444.36,79214.87,447.47,987214.76,60584934.46,93.1,2.8880000000000003,702.0,0.7125335789999999,0,0,0,0,0
2015-07-26,28445.96,2206.71,203941.78,61788.22,96888.96,64346.020000000004,1429587.78,96275840.29,93.1,2.8330000000000006,702.0,0.7231151682857142,0,0,0,0,0
2015-08-02,72808.45,10462.0,422691.9,15138.28,100676.48,67928.32,917034.79,119468400.59,91.9,2.779,701.0,0.714218448,0,0,0,0,0
2015-08-09,114713.91,10588.33,482111.74,15138.28,129329.71,100492.77,953782.8200000001,134756598.35,91.9,2.72,701.0,0.7015126001428571,0,0,0,0,0
2015-08-16,57893.16,10309.24,350792.5,15138.28,61538.94,135027.21000000002,1827931.17,60062515.45,91.9,2.8030000000000004,701.0,0.6597000882857142,0,0,0,0,0
2015-08-23,49519.84,21659.02,565924.44,25951.34,137532.34,72554.66,813083.0,115402404.94,91.9,2.7260000000000004,701.0,0.6604253504285714,0,0,0,0,0
2015-08-30,149631.97,14295.41,353038.61,21498.85,186763.14,157709.37,933476.75,69709932.62,87.20000000000002,2.602,700.1428571428571,0.6844598641428572,0,0,0,0,0
